date,cloud_cover_percentage,average_rainfall_mm,average_temperature_C,average_humidity_C,average_soil_moisture,cumulative_rainfall_7d,rainfall_risk,soil_moisture_risk,flood_risk,near_rainfall_risk
08-11-2020 0.00,0,0,-251.53,286.41,7.353333333,0,0,1,0,0
09-11-2020 0.00,0,0,-251.46,287,7.366666667,0,0,1,0,0
10-11-2020 0.00,0,0,-251.21,287.2,7.38,0,0,1,0,0
11-11-2020 0.00,0,0,-249.55,288.61,7.363333333,0,0,1,0,0
12-11-2020 0.00,0.072,0,-248.99,289.16,7.346666667,0,0,1,0,0
13-11-2020 0.00,0.144,0,-249.1,288.98,7.33,0,0,1,0,0
14-11-2020 0.00,0.216,0,-249.89,288.8,7.476666667,0,0,1,0,0
15-11-2020 0.00,0.288,0,-249.6,289.97,7.623333333,0,0,1,0,0
16-11-2020 0.00,0.36,0,-251.23,289.61,7.77,0,0,1,0,0
17-11-2020 0.00,0.24,0,-250.57,289.85,8.366666667,0,0,1,0,0
18-11-2020 0.00,0.12,0,-251.45,291.38,8.963333333,0,0,1,0,0
19-11-2020 0.00,0,0,-250.14,291.1,9.56,0,0,1,0,0
20-11-2020 0.00,0,0,-251.57,287.5,8.826666667,0,0,1,0,0
21-11-2020 0.00,0,0,-254.31,281.53,8.093333333,0,0,1,0,0
22-11-2020 0.00,0,0,-255.49,281.57,7.36,0,0,1,0,0
23-11-2020 0.00,0,0,-254.76,282.59,7.273333333,0,0,1,0,0
24-11-2020 0.00,0,0,-254.93,283.53,7.186666667,0,0,1,0,0
25-11-2020 0.00,0.725,0,-254.71,284.42,7.1,0,0,1,0,0
26-11-2020 0.00,1.45,7.68,-253.87,285.29,6.99,7.68,0,0,0,0
27-11-2020 0.00,0.966666667,0,-254.7,286.52,6.88,7.68,0,0,0,0
28-11-2020 0.00,0.483333333,0,-254.65,284.65,6.77,7.68,0,0,0,0
29-11-2020 0.00,0,0,-254.55,284.18,6.603333333,7.68,0,0,0,0
30-11-2020 0.00,0,0,-255.21,284.06,6.436666667,7.68,0,0,0,0
01-12-2020 0.00,0,0,-254.74,284.08,6.27,7.68,0,0,0,0
02-12-2020 0.00,0,0,-254.49,285.38,6.256666667,7.68,0,0,0,0
03-12-2020 0.00,0,0,-254.22,286.32,6.243333333,0,0,0,0,0
04-12-2020 0.00,0,0,-253.64,286.38,6.23,0,0,0,0,0
05-12-2020 0.00,0,0,-253.42,286.36,5.956666667,0,0,0,0,0
06-12-2020 0.00,0,0,-252.77,286.66,5.683333333,0,0,0,0,0
07-12-2020 0.00,0,0,-252.21,287.52,5.41,0,0,0,0,0
08-12-2020 0.00,0,0,-253.59,287.44,5.35,0,0,0,0,0
09-12-2020 0.00,0,0,-253.38,287.18,5.29,0,0,0,0,0
10-12-2020 0.00,0.015,0,-253.38,287.53,5.23,0,0,0,0,0
11-12-2020 0.00,0.03,0,-251.93,288.49,5.183333333,0,0,0,0,0
12-12-2020 0.00,0.02,0,-252.13,289.24,5.136666667,0,0,0,0,0
13-12-2020 0.00,0.01,0,-252.52,288.07,5.09,0,0,0,0,0
14-12-2020 0.00,0,0,-253.75,282.85,5.61,0,0,0,0,0
15-12-2020 0.00,0.73,0,-254.5,284.29,6.13,0,0,0,0,0
16-12-2020 0.00,1.46,0.34,-256.51,285.1,6.65,0.34,0,0,0,0
17-12-2020 0.00,0.973333333,0,-257.84,279.88,6.403333333,0.34,0,0,0,0
18-12-2020 0.00,0.486666667,0,-260.04,278.43,6.156666667,0.34,0,0,0,0
19-12-2020 0.00,0,0,-259.59,280.35,5.91,0.34,0,0,0,0
20-12-2020 0.00,0.005,0,-259.29,280.78,5.98,0.34,0,0,0,0
21-12-2020 0.00,0.01,0,-258.99,282.18,6.05,0.34,0,0,0,0
22-12-2020 0.00,0.006666667,0,-258.31,283.42,6.12,0.34,0,0,0,0
23-12-2020 0.00,0.003333333,0,-257.75,283.69,6.103333333,0,0,0,0,0
24-12-2020 0.00,0,0.06,-257.61,283,6.086666667,0.06,0,0,0,0
25-12-2020 0.00,0,0,-258.05,281.31,6.07,0.06,0,0,0,0
26-12-2020 0.00,0,0,-258.41,280.92,6.29,0.06,0,0,0,0
27-12-2020 0.00,0,0.06,-257.81,281.95,6.51,0.12,0,0,0,0
28-12-2020 0.00,0,0,-256.63,283.16,6.73,0.12,0,0,0,0
29-12-2020 0.00,0,0.4,-257.4,282.9,6.736666667,0.52,0,0,0,0
30-12-2020 0.00,0,0,-257.8,282.07,6.743333333,0.52,0,0,0,0
31-12-2020 0.00,0,0,-258.53,280.91,6.75,0.46,0,0,0,0
01-01-2021 0.00,0.224,0,-257.73,282.03,6.75,0.46,0,0,0,0
02-01-2021 0.00,0.448,0,-256.56,284.34,6.75,0.46,0,0,0,0
03-01-2021 0.00,0.672,1.55,-254.84,285.53,6.75,1.95,0,0,0,0
04-01-2021 0.00,0.896,0,-253.67,286.79,6.75,1.95,0,0,0,0
05-01-2021 0.00,1.12,0,-253.88,288.52,6.75,1.55,0,0,0,0
06-01-2021 0.00,0.746666667,0,-252.96,287.72,6.75,1.55,0,0,0,0
07-01-2021 0.00,0.373333333,0,-253.07,287.51,6.75,1.55,0,0,0,0
08-01-2021 0.00,0,0,-253.66,288.38,6.75,1.55,0,0,0,0
09-01-2021 0.00,0,2.33,-254.09,286.23,6.75,3.88,0,0,0,0
10-01-2021 0.00,0,0,-252.5,288.54,6.75,2.33,0,0,0,0
11-01-2021 0.00,0.254,0,-256.39,284.09,6.75,2.33,0,0,0,0
12-01-2021 0.00,0.508,0,-259.52,280.75,6.75,2.33,0,0,0,0
13-01-2021 0.00,0.762,0,-258.94,281.2,6.75,2.33,0,0,0,0
14-01-2021 0.00,1.016,0,-259.42,281.77,6.75,2.33,0,0,0,0
15-01-2021 0.00,1.27,0,-259.15,282.87,6.75,2.33,0,0,0,0
16-01-2021 0.00,0.846666667,0,-259.09,283.33,6.75,0,0,0,0,0
17-01-2021 0.00,0.423333333,0,-258.71,283.21,6.75,0,0,0,0,0
18-01-2021 0.00,0,0.18,-257.44,284.6,6.75,0.18,0,0,0,0
19-01-2021 0.00,0,0,-255.71,285.69,6.75,0.18,0,0,0,0
20-01-2021 0.00,0,0.14,-256.12,284.61,6.75,0.32,0,0,0,0
21-01-2021 0.00,0.292,0,-257.03,282.79,6.75,0.32,0,0,0,0
22-01-2021 0.00,0.584,0,-257.63,284.22,6.75,0.32,0,0,0,0
23-01-2021 0.00,0.876,0,-258.2,284.22,6.75,0.32,0,0,0,0
24-01-2021 0.00,1.168,0,-256.95,284.97,6.75,0.32,0,0,0,0
25-01-2021 0.00,1.46,0,-256.42,283.98,6.75,0.14,0,0,0,0
26-01-2021 0.00,1.368,0,-258.73,282.41,6.75,0.14,0,0,0,0
27-01-2021 0.00,1.276,0,-260.01,280.74,6.75,0,0,0,0,0
28-01-2021 0.00,1.184,0,-259.34,281.69,6.75,0,0,0,0,0
29-01-2021 0.00,1.092,0,-259.11,281.93,6.75,0,0,0,0,0
30-01-2021 0.00,1,0,-258.94,281.1,6.75,0,0,0,0,0
31-01-2021 0.00,0.8,0,-258.5,280.91,6.75,0,0,0,0,0
01-02-2021 0.00,0.6,0,-258.47,281.07,6.75,0,0,0,0,0
